Its content has classic and tragic dimensions beyond politics.	This film has received a lot of praise from critics, but not that many people will find this that entertaining.	Both a how-to manual for guerrilla terrorism and a cautionary tale about how to fight it. It's also quite possibly the finest war film ever made.	The price of invasion has never been more poignantly spelled out than in this classic film.	'The Battle of Algiers' serves potent warning to those who envision warfare, or any Western-dictated settlement, in areas so hungry and so foreign.	A powerful, documentary-like examination of the response to an occupying force, The Battle of Algiers hasn't aged a bit since its release in 1966.
Ricky Gervais and mainstream Hollywood rom-com are initially uneasy bedfellows but ultimately, and largely due to co-star Téa Leoni, it's a match made in its star's brand of comic purgatory.	Leoni and Gervais are wonderful together, as much for the ways in which they wobble against each other as for the ways they ultimately mesh.	After a trying week in which many of us suffered damage to our homes and others were still without power, Ghost Town will provide a wonderful boost, if just for a couple of hours.	Despite the high-concept premise, Ghost Town has a low-concept feel. The jokes are small, sly and sometimes gentle.	Ricky Gervais is such an unlikable misanthrope that this clumsy attempt at a redemptive comedy is as antipathetic as Gervais.	Ricky Gervais' consistently sharp performance and beautifully dry execution transform this otherwise mainstream comedy into an endearing, funny, and altogether snappy romantic comedy. With ghosts.
Clint Eastwood is the ultimate thinking man's cinematic killing machine.	Eastwood holds fast to the rebel spirit of the spaghetti Westerns and revisionist "New Hollywood" Westerns of the previous decade, but packages it in a film that's slicker and more mainstream-friendly.	A funny, brutal, scary movie, daringly surreal in its mix of Western and horror themes.	As a director, Eastwood is not as good as he seems to think he is. As an actor, he is probably better than he allows himself to be.	This film is hardcore. Not hardcore as in lots of blood and guts, but more in that it's just plain nasty. Everyone therein is nasty, and the hero is the nastiest man in the flick.	Clint Eastwood's sophomore outing as director sees him back in the saddle as a mysterious stranger, as the result is one of his most memorable Westerns.
Rather than turn the camera away when disaster strikes, [director Cassavetes] keeps his suffering characters in close, uninterrupted focus, pushing us squarely into their pain.	Alpha Dog may be more crass exploitation than an earnest attempt at laying out the facts of a crime, but it's exciting and watchable for anyone willing to romp in the mud for two hours.	Cassavetes starts to lose the plot at the precise moment he starts keeping exact track of it.	What starts off as another seeming teenboy-targeted flick celebrating would-be gangbangers becomes a more interesting docudrama about a kidnapping turned tragic in Nick Cassavetes's Alpha Dog.	A well-researched model of the true-crime genre...[and] close cinematic relative of Larry Clark's Bully.	A glossy yet unflinching portrait of violent, hedonistic teenagers. Bruce Willis and Sharon Stone chew the scenery, while Justin Timberlake gives a noteworthy performance.
The movie deserves its advance cult status because of its antic humor and, of course, Campbell's Elvis.	a smart comedy that dares to take on the sublime and the ridiculous, succeeding on both counts with equal aplomb	May Bubba Ho-Tep play at midnight drive-ins until Elvis indeed returns.	Writer-director Don Coscarelli piles on unpleasant details and cynical asides as if they were the stuff of wisdom, though they seem intended to produce guffaws rather than thoughts	It has the damnedest ingratiating way of making us sit there and grin at its harebrained audacity, laugh at its outhouse humor, and be somewhat moved (not deeply, but somewhat) at the poignancy of these two old men and their situation.	The best movie to star both the King and JFK.
Unconvincing performances and overwritten dialogue make Woman fail to resonate.	Although it makes no bones about preaching to the choir, Woman, Thou Art Loosed has enough force as a searing emotional drama to transcend religious boundaries.	For victims of abuse, watching this film may be a cathartic experience. For most moviegoers, it is, at its best, a sober look at a problem that is at last getting some of the attention it has always deserved.	A quality production that fully engages.	It sounds like a rather overt Christian message, but the film is actually more of a cautionary melodrama with religious sermons sprinkled in between the various scenes	While Woman is a little less heavy-handed than other message movies, it still feels like an After School Special.
If you've heard anything about this movie, from the floating film festival persiflage to the test and press screening whispers, you know one thing: it climaxes strangely.	Although the style amps the attractiveness of individual scenes, it undercuts believability across the whole.	Too often settles for standard B-movie contrivance, proving to disappointed ticket buyers the truth of this odd little movie's best line: 'Hollywood will f*** you when no one else will'.	Meticulously mounted with bravura filmmaking that technically serves well the noir crime yarn, but the text is emotionally hollow.	Despite genius-level contributions from cinematographer Vilmos Zsigmond and art director Dante Ferretti, the handsome film is almost abusively murky, trafficking in difficult-to-follow plot manipulations, arbitrary twists and mumbled dialogue.	Though this ambitious noir crime-drama captures the atmosphere of its era, it suffers from subpar performances, a convoluted story, and the inevitable comparisons to other, more successful films of its genre.
The kind of sequel that should have gone directly to DVD shelves.	Picks up pretty terrifying momentum once the jungle snakes get an urge to chow down on these humans, even if everyone on the menu is on the lean side	Due to the film, one has peace of mind in learning that if a companion is swallowed by an anaconda, its digestive process takes so long that it won't eat you too soon.	Anacondas is not 'snakespeare' but it's got the right mix of horror, suspense and camp and it delivers exactly what it promises.	Folks, you'll know whether you want to see this movie or not by the title alone.	A cheesy monster B-movie.
...creates a visceral sense of its characters' lives and conflicted emotions that carries it far above...what could have been a melodramatic, Lifetime Channel-style anthology.	A stuffy bore, filled with amateurish psychological 'insights' that make it seem like a more-ambitious -- and infinitely more pretentious -- Lifetime channel cable movie.	Unlike many movies you'll see or have seen about the fairer sex, neither wallowing in Lifetime movie affirmations and morbidity nor batting its lashes with cutie-pie comedy.	Makes you feel like you're reading a great compendium of short stories in which vibrant images literally burst from the pages.	A movie that at its best doesn't just make the most out of its characters' flaws but insists on the virtue of imperfection.	Uneven, but a keenly observed and well-acted film about three women's lives.
If there's a real person in all this, he is lost in your stubbornly experimental filmmaking technique. Experiments are only interesting when they work, you know.	Wandering in a narcoleptic stupor, Pitt's junkie rock star is as much lost soul as tortured genius, and Van Sant refrains from tacky pop theorising or tired rock-crit veneration.	Van Sant hasn't found a means of deepening the premise he initially establishes, and his film bores and irritates rather than entrancing us as its predecessors did.	Last Days offers some insight into Cobain's final frame of mind, but balks at the gates of deeper truth.	Unpleasant but hypnotic lyrical meditation on death that was inspired by the suicide in 1994 of grunge rocker Kurt Cobain.	While the minimalist style is not for all viewers, those who prefer experimentalism will find Last Days hypnotic.
James Whale's extravagantly produced sequel to his own Frankenstein still ranks as one of horrordom's greatest achievements.	Absolute classic horror, the best of the 'Frankensteins.'	Grand, spectacular entertainment: a blend of horror and black comedy carried along by Whale's unique combination of theater and cinematic fireworks.	Seen today, Whale's masterpiece is more surprising than when it was made because today's audiences are more alert to its buried hints of homosexuality, necrophilia and sacrilege. But you don't have to deconstruct it to enjoy it.	Whale's most perfectly realised movie, a delight from start to finish.	An eccentric, campy, technically impressive, and frightening picture, James Whale's Bride of Frankenstein has aged remarkably well.
Let's not sell Tyler Perry short. As the vinegar-witted Madea, he's a drag performer of testy charm, but in his overlit patchwork way he's also making the most primal women's pictures since Joan Crawford flexed her shoulder pads.	The dysfunctional script and operatically excessive direction ... land someplace closer to outsider art than bad moviedom.	Perry's vaudevillian shamelessness and indifference to committee-approved taste are energizing and frequently jaw-dropping.	All the while Madea's wit, which is refreshing on the stage, feels spurious and often misfires.	Both of the villains are so far over the top they should be in the summer Olympics.	Tyler Perry's Madea's Family Reunion is sincere in its positive intentions, but leaves something to be desired as a film.
Black has finally got the hipness that his Lethal Weapon films pawed like apes, thudding with macho humor.	I haven't had this much fun at the movies in a long time.	This is about as lowbrow and raunchy as any filmmaker will ever get with an R rating.	The plot of the film is almost willfully convoluted. But it's also largely beside the point, an excuse for quite a few good scenes, most of them equal parts homage and subversion.	The best movie, with the best script, in writer Shane Black's career.	Tongue-in-cheek satire blends well with entertaining action and spot-on performances in this dark, eclectic neo-noir homage.
The Business of Being Born is not overtly political. Its feminism is palpable but unspoken.	[It's] so selective in its presentation of information that it makes Michael Moore look like a fat lady in a blindfold holding a pair of scales.	Former talk show host Ricki Lake had her first baby in a hospital and came away with the need for a birth experience that was more empowering, with less medical intervention.	[Director] Epstein's opinion on the issue is never in doubt and once the attitude of the film is established, it seems to make the same points repeatedly. Fortunately, Epstein herself gets pregnant, and she gets to test her own theories.	As issue docs go, The Business Of Being Born is about as well-put-together and non-aggravating as the genre can get -- which isn't saying much, but it's still a small victory.	Epstein's argument in favor of home birthing is certainly biased -- but its biases are so transparent, and so impassioned, that they work in the film's favor.
From the title on down, Looney Tunes: Back in Action feels less like a movie than an exercise in brand reinforcement.	While the affection for the originals is really refreshing, Looney Tunes: Back in Action still stumbles over some formidable hurdles.	It's probably best to chalk this zany mess up to a case of too many conflicting ideas and no strong overarching vision.	Probably works best if you are into following the logic of cartoons.	Live action/animated tale will amuse cartoon fans.	The plot is a nonsensical, hyperactive jumble and the gags are relatively uninspired compared to the classic Looney Tunes cartoons.
Kevin Macdonald's State of Play has, in fact, everything you need to tell a great journalist's story, except a great story.	The three screenwriters may have been trying to work too many plot strands into two hours; in any case, State of Play is both overstuffed and inconclusive.	An homage to investigative reporting with Crowe playing a likable protagonist whose methods will be seen by some as virtuously dogged and others as unequivocally unethical	State of Play succeeds as mainstream entertainment to the point where it hardly makes sense to complain about its pulled political punches.	For a handy compare-and-contrast, check out the small- and big-screen versions of State of Play. You'll see the difference between a vital work of popular art and a patched-up retread.	A taut, well-acted political thriller, State of Play overcomes some unsubtle plot twists with an intelligent script and swift direction.
Intriguing family story of the sunny and dark sides of extreme home-schooling by surfing, through a trove of photos, home movies, and reminiscences, but little insight.	Some documentarians think like essayists, propagandists, abstract painters, or magazine reporters. Doug Pray approaches his documentaries as though he's writing books.	A doctor who does not care about money or status? Must be one-of-a-kind, and this documentary does him justice.	An honest look at a complicated human situation,... it turns out to be a darker film than might be expected.	The most fascinating parts of the movie explore how the Paskowitz children -- who are now in their 30s and 40s -- continue to adjust to a more 'normal' lifestyle.	An intriguing account of a unique family.
It is more op-ed than movie.	The long-winded speeches were made tolerable by the superb acting, but I got the point long before the speeches were over. I would have liked more of Luke and Pena. Still, Meryl Streep could easily grab a nomination. Meryl never whimpers - she roars.	Lions for Lambs is worth seeing for no other reason that you've never seen anything like it before. It's political theatre that shouldn't be missed.	Lions for Lambs simply isn't fresh or courageous enough to make an impact let alone a difference.	Like many a Hollywood political drama, Lions for Lambs carries a full head of steam that is indistinguishable from a lot of hot air.	Despite its powerhouse cast, Lions for Lambs feels like a disjointed series of lectures, rather than a sharp narrative, and ends up falling flat.
Don't even expect coherence.	When cascading through the cityscape, Spider-Man 3 still makes us gasp with delight, but on Earth those gasps come solely in reaction to the cynical dreariness of the script.	It's a towering disappointment.	As the Goblin and Sandman and whatnot multiply and start whizzing about, the proceedings in this grand hodgepodge are so disordered that it would be no surprise were a Nazg? wing into the scene, perhaps ridden by Dr. Zaius.	Spider-Man 3 is an 'almost' success...it 'almost' has us convinced that this trilogy will transcend its blockbuster necessities to mean something more - either as art, precedent, or simply a great way to spend some time at the Cineplex.	Though there are more characters and plotlines, and the action sequences still dazzle, Spider-Man 3 nonetheless isn't quite as refined as the first two.
I would like to declare a temporary moratorium on movies where people don't know things, feel like someone's following them, think they see dead people, or...	Few films have title more deserving.	'The Forgotten' deserves to be.	Moore's strength as an actor lifts this film above itself and makes it a fun and exciting ride, as long as you don't know anything going into it.	It's amazing the acting talent assembled for this mess.	The premise grows too ridiculous to take seriously.
After the predictably generic first 40 minutes, the movie turns into an unexpected magical journey that was moving in the way we expect Pixar movies to be.	A film that starts off big and promising but diminishes into a rather wee thing as it chugs along, with climactic drama that is both too conveniently wrapped up and hinges on magical elements that are somewhat confusing to boot.	Brave is stock Disney storytelling dressed up with Pixar majesty.	Yes, little kids, especially the undemanding ones, will probably like it but if they were pressed to choose between the two, my guess is that most of them would voice a preference for "Madagascar 3." Strangely enough, so would I.	Cockamamie folklore from a land too distant for Hollywood digimators to strain themselves over authenticity.	Brave offers young audiences and fairy tale fans a rousing, funny fantasy adventure with a distaff twist and surprising depth.
Sharif gives a wonderfully understated performance . . .a half-smile, a pursed lip, fills the screen with the warm glow of emotions deeply felt and expertly rendered.	[Sharif] imbues this seemingly simple man with the wisdom that age brings the lucky ones -- his Ibrahim is a subdued Zorba the Greek.	Anchored by two superb performances, the film becomes slightly more engaging than it has any right to.	Excusez-moi, but I'd rather see Omar Sharif punching out croupiers in a casino than dispensing comfort and joy in this sugared-up tale.	Omar Sharif reclaims his place on the big screen with a career award in Venice, a leading role in Hidalgo and this charming French drama.	With tender, assured performances, Sharif and Boulanger elevate what might have been a rote coming-of-age tale.
[Marston] allows the extraordinary Moreno, also making her debut, to carry all the uncertainty, terror and pain on her own young, striking shoulders.	Jim Denault's subtle, handheld cinematography makes clear Maria's perspective without overstating what's obvious: she's in crisis.	The unalloyed earnestness with which Marston tells his story, the frankness of that story and the insistently powerful performance of Catalina Sandino Moreno make Maria one of the more noteworthy debuts in recent filmmaking.	A gripping, deeply moving film.	Throughout, we're constantly rooting for Maria, aware of her underlying decency and protective of her missteps.	In a striking debut, Moreno carries the movie and puts a human face on the drug trade.
Nowhere near as vulgar as most contemporary teen comedies...On the other hand, it's a crushing bore. At least Nia Vardalos' terrible I Hate Valentine's Day had the right verb in its title.	The woefully unfunny I Love You, Beth Cooper is a teen sex comedy's worst enemy.	The writer of I Love You, Beth Cooper says the story is based on a dream. I believe him. This is one of the very few movies where I wanted the hero to wake up and discover it was only a dream.	The story is timeless; this could have taken place when [screenwriter] Doyle graduated in '76 -- or any year, really, since the effects of high school linger throughout adult life and nerds are forever.	There's not one remotely funny thing about this movie, except for maybe the fact that the filmmakers are trying to pass off Rust as a teen.	Heavily reliant on stereotypes and shallow teen comedy clichés, I Love You Beth Cooper is a humorless affair that fails to capture the charm of its source novel.
Sputnik Mania is not riveting; but it is, first and last, informative.	So obsessed with delivering a story about "mania" through overcooked narrative and aesthetic means that one ultimately feels as manipulated as enlightened.	The reigning champion in the archival footage department features great Soviet footage of those days that (hopefully) will never be seen again---the days of the US-Soviet space race.	Surprising, Insightful, Informative. We are reminded that an "atmosphere" of fear may be much more dangerous than the threat.	reminds us that there was a time in the past when world leaders had morality and values	Featuring riveting footage, Sputnik Mania is an informative, well-made piece that effectively captures the mood during the height of the Cold War.
Every frame of Old Joy bespeaks a yearning for a more user-friendly day, when gas was less than $2.50 a gallon and there was always a used record store to unload your scratched vinyl.	The movie explores the increasingly coarse line between nostalgia and acceptance for the way things are, without exclamatory revelation and uproarious self-pity. It's Sideways for realists.	Old Joy may be built around a road trip, but it's also a movie about two roads -- and two souls -- diverging.	Old Joy is as dull and doomed as the men's friendship.	To my mind, there was a lot of wasted time -- repetitive shots of scenery from a moving car that felt more like padding than "atmosphere," as if the movie makers had to create a feature length for a project that just as easily and perhaps more effect	A serene, melancholy beauty permeates this meditative portrait of deep friendship and faded glory.
Shocking and effective but doesn't quite live up to all the hype.	All in all, Basic Instinct is a film that should be viewed as nothing more than a good example of Hollywood craftsmanship.	Trailer trash Hitchcock spliced with overboiled film noir.	Call me a prude, but it's not sexy watching an erotic thriller in which every time a couple does it, one of them gets it with an ice pick. I don't care how many firmly toned tummies and tushes are bared.	The film's problems begin with its story, which is constructed with relentless manipulation in mind. It never plays fair with the audience.	Unevenly echoing the work of Alfred Hitchcock, Basic Instinct contains a star-making performance from Sharon Stone but is ultimately undone by its problematic, overly lurid plot.
comes off like a rejected ABC Afterschool Special, freshened up by the dunce of a Screenwriting 101 class. ...provokes a handful of unintentional howlers and numerous yawns.	Britney Spears and company are well aware that they're making nothing more than the cinematic equivalent of Spears' glossy bubble gum pop--but that's exactly the problem.	It is bad, but certainly not without merit as entertainment.	An example of shamelessly bad screenwriting, laden with coincidence and cliché and empty characterizations.	Tends to pile too many "serious issues" on its plate at times, yet remains fairly light, always entertaining, and smartly written.	A cliched and silly pop star vanity project, Crossroads is strictly for Britney fans only.
Dinner and a DreamWork	Hanks' perfectly rendered Navorski offsets the hogwash and makes the film's shortcomings bearable.	Sweet but disjointed film.	Cloying and contrived.	The Terminal isn't a belly laugh or a knee-slapper; rather it enthralls viewers with gentle humor and warmth and holds your attention with the mystery of Viktor's visit.	Tom Hanks and the rest of the amiable cast make this bumpy ride worth sitting through.
An interesting experiment in tone and narrative that, while getting the job done, definitely fails to fulfill the promise of the premise.	Conviction is the kind of more-bland-than-truly-bad Oscar bait that, to its credit, displays genuine affection for its characters.	Based on a limp script that holds more padding and melodrama than genuine tension, it all feels like one big wasted opportunity.	A well-meaning drama that contains absolutely zero surprises. As a film that got a lot of early mentions for Oscar contention, there's no denying Conviction registers as a disappointment.	Tony Goldwyn directed a cast that ranges from the excellent (Minnie Driver as a fellow attorney, Melissa Leo as a crooked cop) to the laughable (Juliette Lewis as a trashy woman whose perjured testimony helps put the brother away).	Less compelling -- and more manipulative -- than it should be, Conviction benefits from its compelling true story and a pair of solid performances from Swank and Rockwell.
Piglet's Big Movie is an agreeable, if fitfully entertaining, introduction to Milne's characters. But it's no substitute for going by the book.	Screenwriter Brian Hohlfeld imbues the animals with the easily recognizable foibles and insecurities that have made Milne's stories (and the films adapted from them) so endearing through the generations.	The screenplay by Brian Hohlfeld incorporates three of the original Pooh stories but captures none of the charm of A.A. Milne's droll voice.	A pint-sized delight, combining high-quality (but traditional-looking) animation, a sweet story and an excellent batch of Carly Simon songs.	If you've got some very small fry on your hands and 75 minutes to kill, this is as bright, colorful, and fuzzy as you're going to get.	Wholesome and charming entertainment for young children.
Simply Madagascar through the Disney blender.	The animation here impresses more than in the equally defunct Madagascar, but everything else smacks of an easy money-making exercise of such dimwitted inanity even the youngest kids will see through it.	Gags consistently trump character. And if you don't care about the characters, then everything's just a big, dumb joke.	The digitally animated The Wild is an undemanding and unremarkable effort like Madagascar, which beat it to the screen with a similar theme.	Impressive animation, but too much déjŕ vu here.	With a rehashed plot and unimpressive animation, there's nothing wild about The Wild.
Myers and Roach are running dangerously close to empty as far as new and genuinely funny ideas, and they would be best off quitting before they fall any farther behind.	With so many impersonations to keep track off, director Jay Roach winds up moving between Myers and Myers so often that the editing feels like a crude cut-and-paste job.	This third Austin Powers adventure deserves to be his last.	The video companion for 'The Complete Idiot's Guide to Movie Sequels.'	Era mais engraçado quando [Mike] Myers ria dos outros, e năo de si mesmo.	While the narrative structure is messy and doesn't make much sense, the third installment of the Austin Powers franchise contains enough inspired bits to entertain.
Bernstein's score is remarkably resilient, and the plot and characters are obviously timeless.	Demonstrates yet again the enduring quality of Shakespeare's work.	The memorable sequences will stay with you after, but the mediocre and prosaic are mood-altering and too close in contiguity.	A beautiful blend of inventive staging, great music and gritty story.	Technically stunning, with dazzling choreography matching an unforgettable score.	Buoyed by Robert Wise's dazzling direction, Leonard Bernstein's score, and Stephen Sondheim's lyrics, West Side Story remains perhaps the most iconic of all the Shakespeare adaptations to visit the big screen.
It's a hearty, thoughtful, smartly assembled, vaguely complete documentary about a rock band that, even by the standards of out-there musical acts, seemed out there both in the mid-1980s and even now.	Desperately seeking the key of we	Directors Chris Metzler and Lev Anderson seem to have considered several different approaches for their film and settled on all of them.	The group's influence - attested to by members of No Doubt, the Peppers and Jane's Addiction, among many others - is indisputable.	To hear the soaring craziness of Fishbone's "Sunless Saturday" is to wonder how such musical inspiration could possibly miss.	Everyday Sunshine: The Story of Fishbone is an entertaining, heartwarming, and balanced documentary about the influential Los Angeles band.
[Herzog] simply means to show us things as they are - and in this corner of Texas, just north of Houston, things are undeniably violent. And mean.	Herzog asks, in that probing yet gentle, meditative voice we've come to cherish, "What does it mean?" Oh, Werner. We don't ask such things in 'Merica.	An egalitarian study of crime and punishment in a small Southern town, Into the Abyss is also an unmistakably Herzogian inquiry into the lawlessness of the human soul.	This is the abyss the film shows, the frightening arbitrariness of the death penalty. People are born into poverty and violence by chance, and their fates -- as crime victims or victims of the state -- are also functions of chance.	An inquiry into fundamental moral, philosophical, and religious issues, and an examination of humankind's capacity for violence - individual and institutional.	Another probing, insightful look at an interesting subject, Werner Herzog explores the American prison system with passion and not politics.
"Finding Neverland" is full of wit, emotion, adventure, and mystery that will inspire all ages to come see why and how Peter Pan was born.	Twee is one of those distinctly English words. It's used to describe something flowery, fey, hopelessly lightweight. It can also be applied -- quite nicely, thank you -- to Finding Neverland.	Self-conscious toniness and message-mongering are the undoing of Neverland, which finds itself only sporadically.	The film is whimsical, but it lacks dramatic punch.	You're expected to weep, and perhaps you will weep. But if you do, it's not likely that you'll respect yourself in the morning.	It won't pass muster for those looking for historical accuracy, but Finding Neverland is a warm, heartfelt drama with a charm all its own -- and Johnny Depp gives a graceful performance as Peter Pan creator J.M. Barrie.
Call it the Robert Downey Jr. Meets Sherlock Holmes Effect. A classic popular adventure gets overblown, juiced-up, and generally CGI-ified.	So dumb and goofy and ridiculous that it's actually kind of hard not to like on those terms.	It has more to do with trying to remake Pirates Of The Caribbean in France than with filming Dumas' novel.	Lively and bawdy retelling of the classic.	[L]eaden where it should be light... It is graceless and charmless. It reels from the painful banter. It is the epitome of empty soulless corporate filmmaking.	It plays admirably fast and loose with Alexandre Dumas' classic tale, but in every other respect, The Three Musketeers offers nothing to recommend -- or to set it apart from the many other film adaptations.
Garfield is a cool cat with attitude, yet his debut on the big screen falls short by more than a whisker largely due to a script that relies on novelty value rather than fresh ideas.	Those who get bored by the movie (i.e. everybody), can pass the time by counting the many product placements.	Il ne faut pas y chercher du grand cinéma mais rien de plus qu'un divertissement honnęte aussitôt oublié.	This isn't a movie, it's a marketing ploy.	The humor ranges from tame to neutered.	When the novelty of the CGI Garfield wears off, what's left is a simplistic kiddie movie.
Wimpy Kid's filmmakers have gone off-book, so to speak, to inflect Greg with a surprising cruel streak.	Overall, it's fast, funny, and effective and will probably please fans.	Rather than make you smile and delight once more in the joys of childhood, this thudding family offering leaves you with a headache.	I am giving this film four out of five stars because they made some changes to the storyline, but it is still awesome.	Funnier and faster than its charming predecessor.	Moderately witty and acceptably acted, Diary of a Wimpy Kid 2 isn't much worse than the first installment.
One of Hollywood's greatest comedies.	A delightful piece of utter absurdity and one of director Hawks' most inspired lampoons of the battle between the sexes.	Splendid screwball farce: You can't help but love this teaming	One of those movies that seems to improve upon repeat viewings.	Much like "Singin' In The Rain," "Bringing Up Baby" maintains a level of energy that is almost impossible to achieve. The story, the dialogue and the acting move so fast that one cannot help but get caught up in this 90-minute joke	With Katharine Hepburn and Cary Grant at their effervescent best, Bringing Up Baby is a seamlessly assembled comedy with enduring appeal.
Of course, the thing doesn't actually die. It just folds up its face and hibernates for another 23 years, or at least until the inevitable Jeepers Creepers 3: More Goo for You.	A fright-free disaster that makes you long for the 80's glory days of straight-to-video horror.	Para compensar a falta de um roteiro, Victor Salva repete cada capotagem ou explosăo várias vezes, de ângulos diferentes. É como ver inúmeros replays em uma partida sem gols.	The nameless monster is akin to an unintentionally funny hybrid of Batman and a blowfish.	The Creeper is quite the compelling little devil; too bad he's realized amidst such familiar trappings and tiresome caricatures.	Jeepers Creepers 2 is competently made, but it doesn't have the scares of the original.
This complex and involving Argentinean crime drama, with strong moral overtones, won the Best Foreign Language Oscar.	A supremely watchable, well-made and well-acted movie with a dark, sinewy sense of history...	From scene to scene, the movie has an enormously vital swing to it.	This is far from a traditional murder mystery. The richness of the characterisations and depiction of the essence of who all the characters are, is one of the film's greatest strengths. Performances are utterly convincing	Gorgeously filmed with passion and artistry, this provocative story of the tenacity of justice ... is literally breathtaking filmmaking on every level	Unpredictable and rich with symbolism, this Argentinian murder mystery lives up to its Oscar with an engrossing plot, Juan Jose Campanella's assured direction, and mesmerizing performances from its cast.
A suspenseful, entertaining movie.	A delectable mélange of dark comedy, suspenseful melodrama and touching romance	It is Frears' sure directorial hand, along with some deft performances, that keeps Dirty Pretty Things from ever edging into the risible.	A suspense movie that works bracingly well as a genre thriller while also offering gems of social portraiture and a lacerating expose of current conditions among illegal London aliens.	Entertainingly unruly	An illuminating and nuanced film about the exploitation of illegal immigrants.
Each shot is layered with delicious meaning, like a wedding cake layered with frosting.	Smashing.	A well-crafted, strongly-acted film.	A potentially interesting idea deflated by the absurd proclamations of an arch screenplay and smothered under the ponderous gravity of M. Night Shyamalan's dreary direction.	Although the subject matter is fantastical, Shyamalan keeps it down to earth with moody realism and a refusal to overstate anything.	With a weaker ending, Unbreakable is not as a good as The Sixth Sense. However, it is a quietly suspenseful film that intrigues and engages, taking the audience through unpredictable twists and turns along the way.
Willmott's film is an inventive indie production, and a chilling look at a future America narrowly avoided.	...a profane joke that doesn't ruffle quite as many feathers as it should.	The satire comes to feel strained and the whole premise gets awfully precious, reducing social subtleties to cinematic simplicities.	If you've ever wondered what the course America history might have taken if the south had won the Civil War, you might like to check out this infinitely creative, alternately sobering and humorous look at America's lingering legacy of racism.	A rough-edged but incredibly provocative fake documentary.	Through the eyes of a British "documentary", this film takes a satirically humorous, and sometimes frightening, look at the history of an America where the South won the Civil War.
This comedy-drama is more of the formulaic, predictable and lightweight fluff [Moore's] been making all along.	The thoroughly unremarkable Chasing Liberty makes it three negligible movies in a row for Mandy Moore.	Chasing Liberty should have been called "How To Deal with Chasing Liberty While Remembering To Walk."	A formula romantic comedy designed for middle school girls and not of much interest or appeal for anyone else.	Forgettable fluff but it left me in an unaccountably bad mood, mainly because it's a step back for Mandy Moore.	Formulaic comfort food for the teen crowd.
This essential Billy Wilder film smoothly combines trenchant social observation with hilarious comedy.	[Lemmon's character is] a whingeing, self-pitying figure who, like other Wilder practitioners, cannot recognise the extent of his turpitude, and this is both the strength and weakness of a remarkable movie.	Humanism and cleverness age like fine wine, even if served with spaghetti strained with a tennis racket.	Directed by Wilder with attention to detail and emotional reticence that belie its inherent darkness and melodramatic core, it's lifted considerably by the performances.	In the canon of classics by famed writer/director Billy Wilder, this jewel of a comedy easily stands as one of his most beloved.	Director Billy Wilder's customary cynicism is leavened here by tender humor, romance, and genuine pathos.
Road Trip may not have the all-time-classic status of Animal House, but it's frequently as funny.	...genuinely funny...	Road Trip rides the wave of popularity for base, politically incorrect, outrageous humor.	[Tom] Green's brand of absurdist tongue-in-cheek humor informs much of Road Trip even when he isn't on screen. If you like his shtick, you'll probably enjoy the ride.	Road Trip is nothing more than a series of sight gags and put-downs. It's often funny, but it never has anything smart to say.	Some humor is hit or miss, depending on the audience tastes, but the movie is funny overall. Mixed reviews for the cast, especially for MTV's Tom Green.
Tango and Cash is a pale imitation of Lethal Weapon, but it works well enough to be entertaining.	Dreck and more dreck. A waste of celluloid. Almost makes one appreciate Judge Dredd.	Full of stupid A-Team-style action. A forerunner of today's braindead action films.	The film looks like the sort of queasy fever dream that might be produced by sitting through an entire Orson Welles film festival while eating pepperoni pizzas.	An awful, smug, monster truck of a movie.	Brutally violent and punishingly dull, this cookie-cutter buddy cop thriller isn't even fun enough to reach "so bad it's good" status.
You know you want that slushee in your face (in 3D), Gleeks!	Haters, head for the door. But Gleeks? Get your "Glee" on.	Glee leaps past antiseptic politeness or political correctness-it's got its crosshairs on self-acceptance and personal pride, and the film proves the agenda is working.	The Fox TV phenomenon is the Lewis & Clark of discovering new revenue streams. And this big-screen iteration is just as buoyant and bright-eyed as the rest of the franchise.	Here is the problem: If you separate these kids from their characters, if you remove their showtunes from the storylines that make them so dazzling in the fantasy-reality play of the series, then Glee is stripped of its core appeal.	The unconverted will remain just as perplexed as ever, but for gleeful Gleeks, The 3D Concert Movie delivers exactly what it promises.
Shutter the latest photographic enlargement of an Asian horror picture, is clearer and sharper than many of its predecessors, but even the most expert re-touching cannot obscure the fact that we have seen it all before.	Your soul will be intact after Shutter, but it will cost you 85 minutes.	Its PG-13 rating and basic lack of gore seem designed to be uncontroversial, but of course the result of all this anti-controversy is a really dull film.	Shutter coughs up another vengeful ghost in the form of a spurned Japanese waif who appears in photographs and sets about getting her message across as many ghosts do -- in the most indirect, passive-aggressive, logic-defying way imaginable	Really, what's the point? It's a business deal rather than a movie.	Being a remake of a Thai horror film instead of Japanese doesn't prevent Shutter from being another lame Asian horror remake.
